gCSD16_DEN_10	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gCSD16_NYC_9	NA	NODE_2424_length_2075_cov_4.621782	350	1915	+	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTX	522	522	100.00	99.43	522	WP_002449123.1	ABC-F type ribosomal protection protein Vga(A)-LC	NA	NA
gCSD16_NYC_9	NA	NODE_26570_length_699_cov_2.572981	3	419	+	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	139	176	78.98	100.00	139	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD16_NYC_9	NA	NODE_2674_length_1984_cov_3.332815	1420	1749	+	qacL	quaternary ammonium compound efflux SMR transporter QacL	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	110	110	100.00	99.09	110	WP_015059047.1	quaternary ammonium compound efflux SMR transporter QacL	NA	NA
gCSD16_NYC_9	NA	NODE_28636_length_679_cov_1.176282	3	440	+	aadS	aminoglycoside 6-adenylyltransferase AadS	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	146	287	50.87	100.00	146	WP_003013318.1	aminoglycoside 6-adenylyltransferase AadS	NA	NA
gCSD16_NYC_9	NA	NODE_3306_length_1803_cov_5.528604	278	1750	-	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	491	491	100.00	100.00	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	NA	NA
gCSD16_NYC_9	NA	NODE_33149_length_639_cov_3.683219	2	637	+	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	212	284	74.65	99.53	212	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_NYC_9	NA	NODE_35293_length_624_cov_2.866432	85	624	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	180	278	64.75	99.44	180	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
gCSD16_NYC_9	NA	NODE_40440_length_593_cov_12.964684	163	483	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_NYC_9	NA	NODE_4135_length_1636_cov_5.516129	214	558	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
gCSD16_NYC_9	NA	NODE_4135_length_1636_cov_5.516129	555	1391	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
gCSD16_NYC_9	NA	NODE_466624_length_297_cov_2.433884	1	297	-	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	99	161	61.49	98.99	99	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_NYC_9	NA	NODE_47052_length_563_cov_1.216535	13	483	-	blaL2	L2 family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIALX	157	304	51.64	92.99	157	WP_063842700.1	L2 family extended-spectrum class A beta-lactamase	NA	NA
gCSD16_NYC_9	NA	NODE_480_length_4821_cov_7.193244	2010	3551	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	514	514	100.00	100.00	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
gCSD16_NYC_9	NA	NODE_499863_length_292_cov_1.223629	2	292	-	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	97	157	61.78	98.97	97	WP_000777554.1	trimethoprim-resistant dihydrofolate reductase DfrA1	NA	NA
gCSD16_NYC_9	NA	NODE_5697_length_1404_cov_4.253521	662	1189	+	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	176	176	100.00	91.48	176	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD16_NYC_9	NA	NODE_62257_length_512_cov_2.750547	1	510	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	170	262	64.89	99.41	170	WP_001206315.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
gCSD16_NYC_9	NA	NODE_7478_length_1236_cov_3.751905	73	885	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
gCSD16_NYC_9	NA	NODE_75014_length_483_cov_1.712617	1	483	-	mphK	macrolide 2'-phosphotransferase MphK	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	161	306	52.61	98.76	161	WP_003246254.1	macrolide 2'-phosphotransferase MphK	NA	NA
gCSD16_NYC_9	NA	NODE_871_length_3438_cov_5.651197	1476	2939	-	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	488	488	100.00	99.80	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
gCSD16_NYC_9	NA	NODE_871_length_3438_cov_5.651197	478	1374	-	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	299	299	100.00	100.00	299	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_NYC_9	NA	NODE_88929_length_460_cov_1.358025	2	181	+	bcrC	quaternary ammonium compound efflux SMR transporter BcrC	core	STRESS	BIOCIDE	BACITRACIN	BACITRACIN	PARTIAL_CONTIG_ENDX	60	114	52.63	100.00	60	WP_003725292.1	quaternary ammonium compound efflux SMR transporter BcrC	NA	NA
gCSD16_SAC_1	NA	NODE_10815_length_610_cov_1.275676	1	498	+	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	166	273	60.81	100.00	166	WP_005104969.1	carbapenem-hydrolyzing class D beta-lactamase OXA-134	NA	NA
gCSD16_SAC_10	NA	NODE_13582_length_441_cov_1.243523	2	439	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	146	244	59.84	99.32	146	WP_011382144.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_SAC_12	NA	NODE_17805_length_381_cov_1.177914	1	381	-	cfiA	CfiA family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	PARTIAL_CONTIG_ENDX	127	249	51.00	100.00	127	WP_005780969.1	subclass B1 metallo-beta-lactamase CfiA14	NA	NA
gCSD16_SAC_13	NA	NODE_15955_length_490_cov_1.103448	1	489	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	163	284	57.39	98.16	163	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_SAC_13	NA	NODE_19659_length_463_cov_1.595588	3	377	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	125	244	51.23	99.20	125	WP_001003264.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_SAC_14	NA	NODE_109425_length_275_cov_1.418182	3	266	+	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIAL_CONTIG_ENDX	88	142	61.97	97.73	88	WP_002467687.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
gCSD16_SAC_15	NA	NODE_3521_length_543_cov_2.491803	1	255	-	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	85	107	79.44	100.00	85	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_SAC_15	NA	NODE_52966_length_287_cov_2.206897	64	285	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	74	126	58.73	98.65	74	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_SAC_15	NA	NODE_9245_length_433_cov_1.502646	3	302	+	lnu(AN2)	lincosamide nucleotidyltransferase Lnu(AN2)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	100	170	58.82	99.00	100	WP_004308783.1	lincosamide nucleotidyltransferase Lnu(AN2)	NA	NA
gCSD16_SAC_2	NA	NODE_215026_length_249_cov_0.907216	64	249	+	tet(37)	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	62	108	57.41	96.77	62	WP_063855713.1	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	NA	NA
gCSD16_SAC_2	NA	NODE_604_length_938_cov_2.146093	178	936	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	PARTIAL_CONTIG_ENDX	253	405	62.47	100.00	253	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
gCSD16_SAC_2	NA	NODE_86376_length_283_cov_0.855263	7	282	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	92	126	73.02	100.00	92	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_SAC_3	NA	NODE_37026_length_514_cov_0.984749	171	512	+	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	114	115	99.13	100.00	114	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
gCSD16_SAC_3	NA	NODE_4721_length_1728_cov_2.510460	396	878	+	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_SAC_7	NA	NODE_1781_length_593_cov_1.027881	1	591	-	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	197	279	70.61	96.45	197	WP_039902635.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-646	NA	NA
gCSD16_SAC_7	NA	NODE_38814_length_301_cov_2.695122	1	264	-	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	88	176	50.00	96.59	88	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD16_SAC_7	NA	NODE_4119_length_496_cov_1.725624	78	494	-	dfrA40	trimethoprim-resistant dihydrofolate reductase DfrA40	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	139	170	81.76	94.96	139	WP_034702334.1	trimethoprim-resistant dihydrofolate reductase DfrA40	NA	NA
gCSD16_SAC_9	NA	NODE_158_length_2119_cov_3.533915	2	553	-	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	184	276	66.67	96.74	184	WP_000854009.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-235	NA	NA
gCSD16_SAC_9	NA	NODE_2052_length_825_cov_1.828571	159	668	-	dfrA40	trimethoprim-resistant dihydrofolate reductase DfrA40	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	170	170	100.00	98.82	170	WP_034702334.1	trimethoprim-resistant dihydrofolate reductase DfrA40	NA	NA
gCSD16_SAC_9	NA	NODE_416_length_1532_cov_2.676371	1111	1530	+	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	140	176	79.55	99.29	140	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD17_BAL_1	NA	NODE_1436_length_744_cov_2.518142	522	743	+	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	74	115	64.35	98.65	74	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
gCSD17_BAL_1	NA	NODE_213497_length_216_cov_1.186335	46	216	-	tet(37)	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	57	108	52.78	91.23	57	WP_063855713.1	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	NA	NA
gCSD17_BAL_1	NA	NODE_2743_length_590_cov_1.773832	2	589	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIAL_CONTIG_ENDX	196	279	70.25	98.47	196	WP_000259018.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
gCSD17_BAL_1	NA	NODE_565_length_1258_cov_2.339983	607	1257	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	217	284	76.41	97.70	217	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD17_BAL_1	NA	NODE_7956_length_432_cov_1.527851	3	392	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	130	244	53.28	100.00	130	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD17_BAL_10	NA	NODE_2260_length_540_cov_1.595876	70	540	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	INTERNAL_STOP	157	253	62.06	92.36	157	WP_032488331.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD17_BAL_11	NA	NODE_16205_length_382_cov_1.128440	8	382	+	vanR-O	vancomycin resistance response regulator transcription factor VanR-O	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	PARTIAL_CONTIG_ENDX	125	233	53.65	91.20	125	WP_063856729.1	vancomycin resistance response regulator transcription factor VanR-O	NA	NA
gCSD17_BAL_11	NA	NODE_259_length_2203_cov_2.611266	943	1758	+	blaOXA	OXA-1091 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	272	272	100.00	99.26	272	WP_012045014.1	class D beta-lactamase OXA-1091	NA	NA
gCSD17_BAL_12	NA	NODE_133501_length_253_cov_1.646465	2	244	-	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	81	161	50.31	100.00	81	WP_011645010.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD17_BAL_12	NA	NODE_136749_length_252_cov_1.167513	11	250	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	80	107	74.77	98.75	80	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD17_BAL_12	NA	NODE_2518_length_1265_cov_2.680165	470	1201	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003264.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD17_BAL_12	NA	NODE_2763_length_1198_cov_2.499563	73	888	+	blaOXA	OXA-1091 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	272	272	100.00	99.26	272	WP_012045014.1	class D beta-lactamase OXA-1091	NA	NA
gCSD17_BAL_13	NA	NODE_16431_length_383_cov_2.530488	3	383	-	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	127	164	77.44	100.00	127	WP_002322211.1	trimethoprim-resistant dihydrofolate reductase DfrF	NA	NA
gCSD17_BAL_13	NA	NODE_6637_length_487_cov_2.659722	1	486	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	162	284	57.04	98.77	162	WP_011117480.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD17_BAL_13	NA	NODE_832_length_1091_cov_2.132239	3	971	-	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	323	641	50.39	98.45	323	WP_063856407.1	tetracycline resistance ribosomal protection protein Tet(Q)	NA	NA
gCSD17_BAL_14	NA	NODE_10149_length_475_cov_2.371429	3	473	+	blaOXA	OXA-1091 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	157	272	57.72	100.00	157	WP_012045014.1	class D beta-lactamase OXA-1091	NA	NA
gCSD17_BAL_14	NA	NODE_5533_length_611_cov_3.223022	1	609	+	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	203	244	83.20	98.52	203	WP_001003264.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD17_BAL_14	NA	NODE_8430_length_513_cov_3.936681	136	456	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD17_BAL_2	NA	NODE_10917_length_423_cov_3.114130	3	422	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	140	244	57.38	97.14	140	WP_001003264.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD17_BAL_2	NA	NODE_175165_length_229_cov_4.022989	5	229	+	fosA	FosA5 family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	PARTIAL_CONTIG_ENDX	75	139	53.96	100.00	75	WP_004146118.1	FosA5 family fosfomycin resistance glutathione transferase	NA	NA
gCSD17_BAL_2	NA	NODE_267_length_1671_cov_4.163985	533	1384	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	284	284	100.00	98.59	284	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD17_BAL_2	NA	NODE_32913_length_309_cov_1.177165	2	307	-	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	102	161	63.35	99.02	102	WP_011645010.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD17_BAL_2	NA	NODE_4003_length_566_cov_3.814090	391	564	-	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	58	107	54.21	100.00	58	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD17_BAL_2	NA	NODE_6405_length_493_cov_1.696347	3	491	+	cfxA	CfxA family broad-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	163	321	50.78	90.80	163	WP_004339683.1	CfxA family broad-spectrum class A beta-lactamase	NA	NA
gCSD17_BAL_3	NA	NODE_14571_length_546_cov_3.130346	2	544	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	181	284	63.73	97.79	181	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD17_BAL_3	NA	NODE_1540_length_1215_cov_2.192241	356	1171	+	blaOXA	OXA-1091 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	272	272	100.00	99.63	272	WP_012045014.1	class D beta-lactamase OXA-1091	NA	NA
gCSD17_BAL_3	NA	NODE_244585_length_238_cov_1.049180	59	238	-	tet(37)	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	60	108	55.56	91.67	60	WP_063855713.1	tetracycline resistance NADPH-dependent oxidoreductase Tet(37)	NA	NA
gCSD17_BAL_3	NA	NODE_333684_length_219_cov_1.231707	1	219	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	73	126	57.94	100.00	73	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD17_BAL_5	NA	NODE_12035_length_490_cov_2.211494	38	490	-	blaBJP	BJP family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	PARTIAL_CONTIG_ENDX	151	294	51.36	93.38	151	WP_011088970.1	subclass B3 metallo-beta-lactamase BJP-1	NA	NA
gCSD17_BAL_5	NA	NODE_38193_length_292_cov_2.240506	1	291	+	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	PARTIAL_CONTIG_ENDX	97	184	52.72	98.97	97	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	NA	NA
gCSD17_BAL_6	NA	NODE_1346_length_1641_cov_3.784363	966	1640	-	blaOXA	OXA-1091 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	225	272	82.72	99.56	225	WP_012045014.1	class D beta-lactamase OXA-1091	NA	NA
gCSD17_BAL_6	NA	NODE_143838_length_209_cov_1.246753	2	208	+	qacL	quaternary ammonium compound efflux SMR transporter QacL	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	69	110	62.73	100.00	69	WP_015059047.1	quaternary ammonium compound efflux SMR transporter QacL	NA	NA
gCSD17_BAL_7	NA	NODE_15532_length_540_cov_2.715464	1	444	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	148	244	60.66	100.00	148	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD17_BAL_7	NA	NODE_3320_length_1473_cov_3.659379	3	773	+	blaOXA	OXA-1091 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	257	272	94.49	100.00	257	WP_012045014.1	class D beta-lactamase OXA-1091	NA	NA
gCSD17_BAL_8	NA	NODE_196094_length_239_cov_1.206522	6	239	+	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	78	115	67.83	100.00	78	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
gCSD17_BAL_8	NA	NODE_21967_length_471_cov_1.389423	3	470	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	156	267	58.43	100.00	156	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
gCSD17_BAL_8	NA	NODE_29795_length_416_cov_2.695291	240	416	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	59	107	55.14	100.00	59	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD17_BAL_8	NA	NODE_31998_length_405_cov_1.005714	1	405	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIAL_CONTIG_ENDX	135	272	50.00	92.65	136	WP_011453052.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
gCSD17_BAL_8	NA	NODE_32657_length_402_cov_1.002882	54	401	+	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	116	161	72.05	97.41	116	WP_011428879.1	lincosamide nucleotidyltransferase Lnu(A)'	NA	NA
